customer_id,signup_date,country,acquisition_channel
C100192,2023-04-08,US,email
C100193,2023-01-04,UK,email
C100194,2023-10-24,US,referral
C100195,2024-09-06,CA,paid_search
C100196,2023-12-01,CA,social
C100197,2024-01-17,US,organic
C100198,2024-05-20,UK,paid_search
C100199,2024-11-08,US,organic
C100200,2023-01-09,US,email
C100201,2024-05-31,UK,paid_search
C100202,2023-10-01,AU,referral
C100203,2024-04-24,US,referral
C100204,2023-01-31,US,email
C100205,2023-01-17,CA,social
C100206,2024-03-12,US,referral
C100207,2024-08-27,US,paid_search
C100208,2023-11-14,US,social
C100209,2024-07-19,US,email
C100210,2023-07-22,CA,paid_search
C100211,2023-01-04,US,paid_search
C100212,2024-07-27,CA,referral
C100213,2024-11-05,US,referral
C100214,2023-06-21,US,referral
C100215,2024-11-08,AU,social
C100216,2024-08-15,UK,referral
C100217,2023-11-09,US,paid_search
C100218,2023-03-21,US,organic
C100219,2024-01-13,UK,social
C100220,2023-03-02,AU,paid_search
C100221,2024-07-23,UK,paid_search
C100222,2023-01-12,US,social
C100223,2024-01-01,AU,social
C100224,2023-12-23,US,social
C100225,2023-01-04,US,referral
C100226,2023-11-18,UK,paid_search
C100227,2023-09-17,US,paid_search
C100228,2023-09-21,AU,organic
C100229,2024-01-16,UK,social
C100230,2024-09-02,CA,paid_search
C100231,2023-06-23,AU,organic
C100232,2023-10-20,CA,social
C100233,2023-06-30,CA,email
C100234,2023-04-21,US,organic
C100235,2024-04-28,US,organic
C100236,2023-04-01,US,paid_search
C100237,2024-10-25,US,organic
C100238,2024-03-06,US,social
C100239,2023-10-08,CA,organic
C100240,2023-04-18,US,paid_search
C100241,2024-10-26,CA,organic
C100242,2024-10-06,US,organic
C100243,2023-12-01,US,paid_search
C100244,2023-03-08,CA,organic
C100245,2024-02-17,UK,social
C100246,2024-02-16,CA,organic
C100247,2023-06-22,UK,organic
C100248,2023-05-18,US,social
C100249,2024-01-04,US,organic
C100250,2024-07-19,UK,referral
C100251,2023-03-31,AU,organic
C100252,2024-05-28,CA,social
C100253,2023-06-22,US,referral
C100254,2023-09-26,US,paid_search
C100255,2023-02-09,US,referral
C100256,2024-07-29,US,paid_search
C100257,2024-01-31,US,paid_search
C100258,2024-05-26,US,social
C100259,2024-09-23,US,referral
C100260,2024-05-09,AU,organic
C100261,2024-05-11,US,social
C100262,2024-04-12,US,organic
C100263,2023-12-18,AU,email
C100264,2023-11-11,UK,organic
C100265,2024-06-23,UK,social
C100266,2024-06-11,US,social
C100267,2023-08-22,US,paid_search
C100268,2024-06-13,CA,paid_search
C100269,2024-05-13,US,referral
C100270,2024-10-06,AU,organic
C100271,2023-05-21,AU,email
C100272,2024-03-31,US,organic
C100273,2024-08-13,US,paid_search
C100274,2024-08-07,UK,organic
C100275,2023-12-02,US,paid_search
C100276,2023-08-03,US,email
C100277,2024-10-20,US,paid_search
C100278,2023-05-15,US,organic
C100279,2024-11-27,CA,organic
C100280,2023-01-10,US,paid_search
C100281,2024-08-11,AU,social
C100282,2024-01-25,CA,social
C100283,2024-07-10,UK,paid_search
C100284,2024-05-22,US,organic
C100285,2024-09-08,US,referral
C100286,2023-08-20,US,social
C100287,2024-04-27,AU,organic
C100288,2023-10-29,AU,social
C100289,2023-03-26,AU,organic
C100290,2024-02-13,US,organic
C100291,2023-12-28,US,organic
C100292,2024-11-29,AU,social
C100293,2023-10-02,US,organic
C100294,2023-08-10,US,paid_search
C100295,2024-03-01,AU,organic
C100296,2023-10-22,US,social
C100297,2024-02-01,US,paid_search
C100298,2023-04-30,UK,social
C100299,2024-05-14,AU,social
C100300,2024-09-07,US,social
C100301,2024-03-31,AU,social
C100302,2023-07-19,AU,social
C100303,2023-11-19,AU,paid_search
C100304,2023-12-21,UK,organic
C100305,2024-03-30,CA,social
C100306,2023-10-19,AU,email
C100307,2023-04-18,US,social
C100308,2024-11-10,UK,organic
C100309,2023-01-04,US,paid_search
C100310,2023-12-22,UK,organic
C100311,2024-09-04,AU,organic
C100312,2023-08-16,AU,organic
C100313,2023-02-21,UK,paid_search
C100314,2023-06-05,CA,referral
C100315,2023-07-06,AU,referral
C100316,2023-06-16,US,organic
C100317,2024-10-29,US,paid_search
C100318,2024-10-14,UK,social
C100319,2024-04-04,UK,referral
C100320,2024-06-01,UK,referral
C100321,2023-09-25,US,paid_search
C100322,2023-03-13,CA,referral
C100323,2023-11-07,US,organic
C100324,2023-07-04,UK,paid_search
C100325,2024-06-15,US,referral
C100326,2024-03-03,UK,paid_search
C100327,2023-10-18,AU,organic
C100328,2024-06-29,AU,paid_search
C100329,2024-05-11,CA,organic
C100330,2023-03-22,US,referral
C100331,2024-08-29,US,paid_search
C100332,2024-04-17,US,social
C100333,2023-10-25,UK,email
C100334,2024-03-22,US,organic
C100335,2024-01-09,US,organic
C100336,2023-05-11,AU,social
C100337,2024-05-29,CA,organic
C100338,2023-12-14,AU,organic
C100339,2023-08-29,US,organic
C100340,2023-02-27,US,paid_search
C100341,2024-01-24,US,organic
C100342,2024-11-05,CA,organic
C100343,2023-11-11,US,email
C100344,2024-11-04,UK,organic
C100345,2024-11-17,US,referral
C100346,2023-09-28,US,organic
C100347,2024-09-15,AU,organic
C100348,2024-11-19,UK,social
C100349,2024-03-09,CA,paid_search
C100350,2024-08-21,US,organic
C100351,2023-05-05,US,referral
C100352,2023-01-02,US,organic
C100353,2023-06-25,UK,social
C100354,2024-03-20,US,organic
C100355,2024-10-26,AU,social
C100356,2023-06-28,UK,email
C100357,2023-07-06,UK,paid_search
C100358,2023-04-30,CA,paid_search
C100359,2023-10-27,CA,email
C100360,2024-06-29,CA,organic
C100361,2023-04-08,US,email
C100362,2024-06-01,US,paid_search
C100363,2023-02-05,US,paid_search
C100364,2024-11-20,US,organic
C100365,2024-07-07,US,paid_search
C100366,2024-08-19,US,organic
C100367,2024-06-28,US,social
C100368,2023-11-11,US,organic
C100369,2023-12-10,US,organic
C100370,2023-04-17,US,paid_search
C100371,2023-10-18,AU,paid_search
C100372,2023-03-19,CA,organic
C100373,2023-01-21,US,organic
C100374,2024-01-21,UK,referral
C100375,2024-01-06,US,organic
C100376,2024-02-23,US,organic
C100377,2024-08-27,UK,paid_search
C100378,2024-06-04,US,email
C100379,2023-12-04,US,organic
C100380,2024-08-27,UK,paid_search
C100381,2024-02-27,US,paid_search
C100382,2023-01-15,AU,paid_search
C100383,2024-10-15,US,paid_search
C100384,2023-04-18,US,social
C100385,2023-11-29,US,organic
C100386,2023-06-11,CA,referral
C100387,2023-12-12,US,referral
C100388,2024-01-09,CA,paid_search
C100389,2024-09-19,UK,referral
C100390,2023-07-23,US,email
C100391,2024-01-25,US,social
C100392,2024-09-28,AU,organic
C100393,2024-05-28,UK,organic
C100394,2024-01-19,UK,social
C100395,2023-07-27,US,organic
C100396,2024-03-20,US,paid_search
C100397,2024-08-26,US,organic
C100398,2023-09-26,US,paid_search
C100399,2024-04-06,UK,social
C100400,2023-07-31,UK,organic
C100401,2023-03-28,AU,social
C100402,2023-06-15,US,paid_search
C100403,2024-04-14,UK,paid_search
C100404,2024-07-10,CA,email
C100405,2023-07-05,US,paid_search
C100406,2024-01-23,AU,social
C100407,2023-09-29,US,referral
C100408,2023-03-05,AU,organic
C100409,2023-04-26,CA,paid_search
C100410,2024-05-20,US,social
C100411,2023-04-03,US,social
C100412,2024-11-14,AU,paid_search
C100413,2023-02-06,CA,paid_search
C100414,2024-08-16,AU,paid_search
C100415,2024-03-09,CA,organic
C100416,2024-01-03,US,social
C100417,2024-01-08,UK,organic
C100418,2023-07-07,UK,email
C100419,2023-04-15,US,organic
C100420,2024-10-21,US,social
C100421,2023-09-08,CA,organic
C100422,2024-10-19,US,referral
C100423,2024-04-05,US,social
C100424,2023-11-25,US,email
C100425,2023-07-05,US,paid_search
C100426,2024-10-05,AU,email
C100427,2023-06-20,US,organic
C100428,2024-09-07,UK,referral
C100429,2024-03-28,US,organic
C100430,2023-03-04,UK,social
C100431,2024-01-09,UK,organic
C100432,2023-11-08,US,email
C100433,2024-05-04,AU,social
C100434,2023-12-19,US,paid_search
C100435,2023-10-29,UK,paid_search
C100436,2023-05-28,AU,organic
C100437,2024-07-17,UK,referral
C100438,2024-03-16,US,organic
C100439,2023-09-01,CA,social
C100440,2023-09-27,US,social
C100441,2024-02-08,AU,organic
C100442,2023-02-17,US,organic
C100443,2023-09-11,US,paid_search
C100444,2023-08-21,US,social
C100445,2023-02-02,US,email
C100446,2024-05-24,US,paid_search
C100447,2023-11-28,UK,referral
C100448,2023-08-29,US,paid_search
C100449,2024-11-13,US,organic
C100450,2023-02-09,US,paid_search
C100451,2023-03-31,US,organic
C100452,2023-03-04,AU,social
C100453,2024-04-16,US,paid_search
C100454,2023-06-13,US,paid_search
C100455,2023-08-07,UK,referral
C100456,2024-06-24,AU,email
C100457,2024-03-05,AU,email
C100458,2024-02-17,US,paid_search
C100459,2024-10-20,US,organic
C100460,2023-10-25,US,referral
C100461,2024-06-04,CA,organic
C100462,2023-12-31,US,paid_search
C100463,2023-11-15,US,referral
C100464,2023-09-20,CA,social
C100465,2024-06-01,US,organic
C100466,2024-08-07,US,social
C100467,2023-01-22,UK,paid_search
C100468,2024-02-27,AU,paid_search
C100469,2023-06-13,AU,paid_search
C100470,2023-09-27,US,referral
C100471,2024-03-08,US,organic
C100472,2023-02-13,US,paid_search
C100473,2024-09-07,UK,referral
C100474,2024-02-07,AU,organic
C100475,2024-01-10,CA,paid_search
C100476,2023-08-22,US,paid_search
C100477,2023-01-26,AU,referral
C100478,2023-01-03,UK,organic
C100479,2023-07-17,US,organic
C100480,2023-10-03,CA,organic
C100481,2023-09-10,US,paid_search
C100482,2023-05-08,AU,organic
C100483,2024-08-07,AU,paid_search
C100484,2023-09-18,CA,paid_search
C100485,2023-04-26,US,paid_search
C100486,2023-09-24,US,email
C100487,2023-01-02,US,social
C100488,2023-02-20,US,organic
C100489,2024-01-06,CA,paid_search
C100490,2024-08-10,AU,referral
C100491,2024-07-25,UK,organic
C100492,2024-08-10,US,email
C100493,2024-04-22,US,paid_search
C100494,2024-10-14,US,social
C100495,2024-04-05,CA,social
C100496,2024-03-22,UK,paid_search
C100497,2023-05-28,AU,organic
C100498,2023-07-21,CA,paid_search
C100499,2024-01-22,AU,paid_search
C100500,2024-09-06,US,organic
C100501,2024-07-12,US,paid_search
C100502,2024-07-05,CA,organic
C100503,2023-04-18,AU,organic
C100504,2023-10-17,UK,organic
C100505,2023-08-01,CA,social
C100506,2023-02-20,US,email
C100507,2024-01-03,US,paid_search
C100508,2023-03-05,UK,referral
C100509,2024-02-13,US,organic
C100510,2023-07-22,AU,social
C100511,2023-07-14,AU,organic
C100512,2024-06-09,CA,organic
C100513,2023-09-10,AU,organic
C100514,2024-05-29,UK,organic
C100515,2024-09-18,CA,social
C100516,2024-02-17,CA,email
C100517,2023-08-20,US,social
C100518,2023-10-09,US,organic
C100519,2023-11-22,US,paid_search
C100520,2024-08-02,US,social
C100521,2023-04-02,CA,social
C100522,2023-08-02,US,organic
C100523,2024-07-17,US,social
C100524,2024-10-19,AU,paid_search
C100525,2024-10-01,UK,paid_search
C100526,2024-09-01,US,paid_search
C100527,2023-07-16,US,social
C100528,2024-10-02,AU,paid_search
C100529,2024-11-03,CA,social
C100530,2024-06-22,AU,social
C100531,2024-06-05,US,social
C100532,2023-02-14,US,email
C100533,2023-12-30,US,social
C100534,2024-01-17,US,organic
C100535,2024-05-05,AU,social
C100536,2023-09-11,US,email
C100537,2024-08-16,AU,organic
C100538,2024-08-22,CA,organic
C100539,2023-11-06,CA,organic
C100540,2024-07-20,US,email
C100541,2024-10-30,AU,referral
C100542,2024-10-17,AU,social
C100543,2024-11-28,UK,social
C100544,2023-03-15,US,organic
C100545,2024-05-04,US,social
C100546,2024-03-19,US,paid_search
C100547,2023-11-20,CA,organic
C100548,2023-07-20,US,referral
C100549,2023-07-23,AU,paid_search
C100550,2023-09-14,US,organic
C100551,2023-11-15,UK,referral
C100552,2023-06-14,US,social
C100553,2024-02-28,US,organic
C100554,2023-11-12,AU,paid_search
C100555,2024-10-24,US,organic
C100556,2023-10-08,CA,email
C100557,2023-07-22,AU,paid_search
C100558,2024-10-18,US,social
C100559,2023-06-24,US,referral
C100560,2023-06-06,CA,paid_search
C100561,2024-05-12,UK,paid_search
C100562,2023-04-20,US,organic
C100563,2023-06-20,CA,social
C100564,2024-07-11,CA,email
C100565,2023-01-17,AU,organic
C100566,2023-03-16,US,social
C100567,2023-03-24,AU,organic
C100568,2023-07-27,US,organic
C100569,2023-05-27,US,social
C100570,2024-06-18,US,social
C100571,2024-04-21,UK,referral
C100572,2024-10-17,US,organic
C100573,2023-06-14,UK,referral
C100574,2023-04-28,US,referral
C100575,2023-07-07,US,referral
C100576,2024-10-03,US,paid_search
C100577,2023-08-04,CA,paid_search
C100578,2023-12-24,US,paid_search
C100579,2023-03-02,US,social
C100580,2023-03-11,US,social
C100581,2024-06-06,UK,paid_search
C100582,2023-01-19,US,referral
C100583,2023-07-07,UK,organic
C100584,2023-11-15,UK,paid_search
C100585,2023-10-24,US,social
C100586,2024-02-16,US,social
C100587,2023-05-22,CA,social
C100588,2024-05-15,US,organic
C100589,2023-10-16,US,paid_search
C100590,2024-03-30,UK,paid_search
C100591,2024-06-15,US,paid_search
C100592,2023-04-24,US,referral
C100593,2023-02-12,US,email
C100594,2024-08-20,US,social
C100595,2023-05-06,US,organic
C100596,2023-05-09,AU,email
C100597,2024-10-30,AU,paid_search
C100598,2024-03-08,US,social
C100599,2024-10-24,US,social
C100600,2023-01-05,CA,organic
C100601,2023-09-26,UK,social
C100602,2023-11-21,US,paid_search
C100603,2024-10-13,CA,organic
C100604,2024-03-09,US,organic
C100605,2023-07-01,UK,referral
C100606,2023-09-01,CA,organic
C100607,2024-06-12,US,organic
C100608,2023-04-24,US,organic
C100609,2024-03-23,UK,paid_search
C100610,2023-09-11,US,paid_search
C100611,2024-02-23,AU,social
C100612,2024-06-28,US,referral
C100613,2023-03-08,US,organic
C100614,2024-08-11,AU,paid_search
C100615,2023-08-27,US,social
C100616,2023-11-21,US,social
C100617,2023-01-19,US,paid_search
C100618,2023-10-18,US,organic
C100619,2024-01-01,US,paid_search
C100620,2024-04-01,AU,organic
C100621,2023-08-29,US,paid_search
C100622,2024-01-03,US,paid_search
C100623,2024-10-12,CA,paid_search
C100624,2024-07-14,AU,email
C100625,2024-05-04,US,paid_search
C100626,2023-02-05,US,social
C100627,2023-10-13,US,referral
C100628,2024-11-04,UK,referral
C100629,2024-04-29,CA,email
C100630,2023-11-06,US,organic
C100631,2023-02-13,US,email
C100632,2023-03-02,CA,referral
C100633,2024-10-09,US,email
C100634,2023-08-17,US,organic
C100635,2023-07-22,AU,organic
C100636,2024-07-17,US,social
C100637,2023-11-26,US,organic
C100638,2023-06-01,US,paid_search
C100639,2024-07-12,AU,social
C100640,2024-02-09,US,organic
C100641,2023-11-04,US,social
C100642,2023-09-23,AU,email
C100643,2024-05-26,US,organic
C100644,2023-07-09,US,organic
C100645,2023-09-26,US,social
C100646,2023-09-03,CA,organic
C100647,2024-11-10,US,organic
C100648,2024-01-08,US,paid_search
C100649,2023-12-17,UK,organic
C100650,2024-08-27,US,organic
C100651,2024-06-14,UK,paid_search
C100652,2024-01-04,UK,email
C100653,2023-05-08,CA,social
C100654,2024-11-25,US,email
C100655,2024-08-16,US,email
C100656,2024-10-06,CA,paid_search
C100657,2024-03-07,US,social
C100658,2024-10-01,CA,paid_search
C100659,2023-08-23,UK,referral
C100660,2023-06-17,US,organic
C100661,2023-11-13,US,social
C100662,2024-10-17,US,referral
C100663,2024-11-22,US,organic
C100664,2023-02-10,US,paid_search
C100665,2023-11-01,UK,organic
C100666,2023-05-31,CA,email
C100667,2023-02-23,AU,referral
C100668,2024-08-19,US,social
C100669,2024-11-04,AU,organic
C100670,2023-03-24,US,referral
C100671,2023-12-20,US,organic
C100672,2024-03-22,AU,social
C100673,2024-09-29,US,organic
C100674,2023-03-31,US,paid_search
C100675,2024-09-08,UK,referral
C100676,2023-02-18,US,organic
C100677,2024-05-26,AU,paid_search
C100678,2024-10-20,CA,organic
C100679,2023-10-31,UK,paid_search
C100680,2024-03-14,UK,organic
C100681,2024-07-07,CA,paid_search
C100682,2024-02-11,US,organic
C100683,2024-10-14,US,paid_search
C100684,2024-02-06,US,organic
C100685,2023-05-11,US,email
C100686,2023-05-20,US,referral
C100687,2023-10-18,AU,paid_search
C100688,2024-02-12,CA,referral
C100689,2024-09-10,CA,organic
C100690,2023-04-04,US,paid_search
C100691,2023-05-24,CA,email
C100692,2023-12-01,AU,paid_search
C100693,2023-05-23,UK,organic
C100694,2024-01-01,AU,paid_search
C100695,2023-08-06,AU,referral
C100696,2024-09-30,US,paid_search
C100697,2023-01-04,AU,paid_search
C100698,2024-05-20,CA,email
C100699,2024-09-01,CA,organic
C100700,2024-07-08,US,paid_search
C100701,2023-05-01,AU,organic
C100702,2024-07-07,US,paid_search
C100703,2023-05-19,AU,paid_search
C100704,2024-04-16,AU,social
C100705,2024-01-14,UK,email
C100706,2024-03-09,AU,email
C100707,2024-03-14,US,social
C100708,2023-07-30,CA,organic
C100709,2024-11-06,AU,email
C100710,2023-11-03,UK,organic
C100711,2023-11-16,US,organic
C100712,2023-07-15,US,organic
C100713,2023-03-21,US,paid_search
C100714,2024-02-02,UK,organic
C100715,2023-05-16,AU,social
C100716,2023-03-02,US,paid_search
C100717,2024-08-25,US,email
C100718,2024-07-26,US,organic
C100719,2024-04-09,AU,email
C100720,2023-01-29,US,paid_search
C100721,2023-09-06,US,paid_search
C100722,2023-04-14,US,organic
C100723,2023-09-13,AU,organic
C100724,2024-04-07,CA,paid_search
C100725,2023-12-22,UK,social
C100726,2024-04-01,AU,email
C100727,2023-03-31,US,paid_search
C100728,2023-11-27,US,organic
C100729,2024-03-10,AU,organic
C100730,2023-08-16,UK,organic
C100731,2023-10-24,US,organic
C100732,2023-05-10,CA,social
C100733,2023-04-24,US,paid_search
C100734,2024-06-21,UK,paid_search
C100735,2024-05-15,AU,paid_search
C100736,2024-07-29,US,organic
C100737,2024-01-07,CA,organic
C100738,2024-10-17,US,email
C100739,2023-03-11,US,organic
C100740,2024-10-07,US,paid_search
C100741,2024-05-28,CA,paid_search
C100742,2024-05-18,CA,paid_search
C100743,2024-02-23,AU,organic
C100744,2023-12-13,AU,organic
C100745,2024-05-17,US,referral
C100746,2024-05-18,CA,social
C100747,2024-09-24,US,social
C100748,2023-05-16,AU,social
C100749,2023-07-31,US,social
C100750,2024-06-28,UK,email
C100751,2024-05-08,US,organic
C100752,2024-03-16,UK,organic
C100753,2023-02-01,UK,organic
C100754,2024-01-08,US,social
C100755,2023-09-02,US,paid_search
C100756,2023-09-19,CA,social
C100757,2023-06-07,AU,paid_search
C100758,2024-01-30,US,email
C100759,2024-07-15,US,paid_search
C100760,2023-10-04,US,organic
C100761,2023-05-13,AU,social
C100762,2023-04-29,UK,paid_search
C100763,2024-06-09,US,organic
C100764,2024-07-15,US,paid_search
C100765,2023-06-23,US,paid_search
C100766,2024-05-09,CA,social
C100767,2023-04-15,US,organic
C100768,2023-06-18,UK,social
C100769,2023-03-18,UK,organic
C100770,2023-11-04,UK,paid_search
C100771,2023-08-26,US,paid_search
C100772,2023-06-11,US,organic
C100773,2024-05-18,US,social
C100774,2023-05-03,US,paid_search
C100775,2023-09-13,US,organic
C100776,2024-05-05,US,organic
C100777,2024-09-22,US,social
C100778,2023-02-11,AU,organic
C100779,2024-03-15,CA,referral
C100780,2024-03-12,AU,social
C100781,2023-11-05,AU,email
C100782,2023-12-19,UK,organic
C100783,2024-06-16,US,paid_search
C100784,2024-02-11,US,organic
C100785,2023-12-11,US,organic
C100786,2024-06-18,CA,referral
C100787,2024-11-23,US,paid_search
C100788,2023-05-18,UK,referral
C100789,2024-06-23,AU,referral
C100790,2023-03-24,AU,organic
C100791,2023-03-31,US,paid_search
C100792,2024-07-29,CA,email
C100793,2023-10-30,US,organic
C100794,2024-03-06,US,paid_search
C100795,2023-06-06,US,paid_search
C100796,2024-03-16,AU,organic
C100797,2023-02-11,AU,social
C100798,2024-04-14,US,paid_search
C100799,2023-06-07,UK,paid_search
C100800,2024-10-06,AU,paid_search
C100801,2023-07-29,UK,referral
C100802,2023-10-22,US,paid_search
C100803,2023-08-28,AU,paid_search
C100804,2023-01-04,US,organic
C100805,2024-05-04,US,social
C100806,2024-03-01,UK,organic
C100807,2024-05-31,AU,paid_search
C100808,2024-04-18,US,organic
C100809,2023-09-12,AU,paid_search
C100810,2023-05-27,US,organic
C100811,2024-05-25,UK,paid_search
C100812,2023-04-09,US,social
C100813,2023-04-20,US,paid_search
C100814,2023-05-01,US,organic
C100815,2023-11-01,US,referral
C100816,2024-01-04,CA,social
C100817,2023-04-04,AU,organic
C100818,2024-04-01,US,email
C100819,2023-02-20,US,social
C100820,2023-03-02,UK,paid_search
C100821,2023-10-17,US,paid_search
C100822,2023-05-02,US,organic
C100823,2023-06-16,US,social
C100824,2023-05-29,AU,referral
C100825,2024-03-21,US,paid_search
C100826,2023-03-24,US,paid_search
C100827,2023-01-17,AU,organic
C100828,2024-10-12,US,referral
C100829,2024-03-18,US,paid_search
C100830,2023-03-01,US,social
C100831,2023-10-31,UK,paid_search
C100832,2023-10-02,AU,referral
