order_id,customer_id,order_date,channel,category,quantity,unit_price,discount,net_revenue,cost_of_goods,gross_margin,status,margin_pct
O502499,C100713,2023-04-15,web,electronics,1,136.79,0.0,136.79,110.19,26.6,completed,0.1945
O502943,C100827,2023-04-17,web,beauty,1,62.69,0.0,62.69,31.05,31.64,completed,0.5047
O502943,C100827,2023-04-17,web,beauty,1,54.77,0.0,54.77,27.34,27.43,completed,0.5008
O502943,C100827,2023-04-17,web,apparel,2,114.4,0.0,228.8,131.86,96.94,completed,0.4237
O502769,C100790,2023-04-19,retail_partner,home,3,48.05,21.62,122.53,71.11,51.42,completed,0.4197
O502550,C100727,2023-04-20,mobile_app,accessories,2,33.6,3.36,63.84,33.13,30.71,completed,0.481
O502835,C100804,2023-04-21,web,beauty,3,41.45,24.87,99.48,45.87,53.61,completed,0.5389
O502835,C100804,2023-04-21,web,accessories,3,68.41,41.05,164.18,82.75,81.43,completed,0.496
O501769,C100506,2023-04-24,mobile_app,beauty,2,39.15,7.83,70.47,35.03,35.44,completed,0.5029
O501769,C100506,2023-04-24,mobile_app,beauty,3,54.5,0.0,163.5,83.07,80.43,completed,0.4919
O501769,C100506,2023-04-24,mobile_app,home,2,125.87,50.35,201.39,130.05,71.34,completed,0.3542
O502980,C100837,2023-04-24,marketplace,accessories,1,55.68,11.14,44.54,22.83,21.71,completed,0.4874
O502865,C100813,2023-04-27,web,apparel,3,50.8,0.0,152.4,76.06,76.34,completed,0.5009
O502836,C100804,2023-04-28,web,accessories,3,64.37,0.0,193.11,95.46,97.65,completed,0.5057
O502836,C100804,2023-04-28,web,electronics,1,273.84,27.38,246.46,211.05,35.41,completed,0.1437
O502990,C100839,2023-04-29,mobile_app,beauty,2,34.74,0.0,69.48,31.59,37.89,completed,0.5453
O502990,C100839,2023-04-29,mobile_app,apparel,1,22.38,0.0,22.38,12.27,10.11,completed,0.4517
O501770,C100506,2023-04-30,retail_partner,footwear,2,152.85,15.29,290.41,169.17,121.24,completed,0.4175
O501770,C100506,2023-04-30,retail_partner,apparel,2,63.96,0.0,127.92,71.89,56.03,completed,0.438
O501770,C100506,2023-04-30,retail_partner,home,1,103.72,5.19,98.53,62.73,35.8,completed,0.3633
O501988,C100562,2023-05-01,mobile_app,electronics,1,225.31,22.53,202.78,175.2,27.58,completed,0.136
O502525,C100722,2023-05-01,marketplace,apparel,2,123.36,0.0,246.72,133.43,113.29,completed,0.4592
O502525,C100722,2023-05-01,marketplace,footwear,3,111.03,33.31,299.78,173.46,126.32,completed,0.4214
O502525,C100722,2023-05-01,marketplace,footwear,3,134.73,80.84,323.35,190.75,132.6,completed,0.4101
O501447,C100430,2023-05-02,retail_partner,apparel,3,53.93,0.0,161.79,84.93,76.86,completed,0.4751
O501447,C100430,2023-05-02,retail_partner,beauty,3,29.66,0.0,88.98,41.21,47.77,completed,0.5369
O501447,C100430,2023-05-02,retail_partner,accessories,2,31.24,0.0,62.48,28.69,33.79,completed,0.5408
O502370,C100670,2023-05-03,marketplace,apparel,3,40.89,18.4,104.27,57.67,46.6,completed,0.4469
O501028,C100298,2023-05-04,web,accessories,1,57.72,0.0,57.72,28.85,28.87,completed,0.5002
O502981,C100837,2023-05-04,mobile_app,beauty,1,31.19,0.0,31.19,14.68,16.51,completed,0.5293
O503149,C100876,2023-05-07,marketplace,beauty,1,35.78,5.37,30.41,14.45,15.96,completed,0.5248
O503149,C100876,2023-05-07,marketplace,footwear,1,118.12,17.72,100.4,58.95,41.45,completed,0.4128
O500352,C100114,2023-05-08,marketplace,beauty,3,17.9,0.0,53.7,25.36,28.34,completed,0.5277
O500352,C100114,2023-05-08,marketplace,home,2,70.5,0.0,141.0,84.88,56.12,completed,0.398
O500352,C100114,2023-05-08,marketplace,home,1,61.44,9.22,52.22,31.59,20.63,completed,0.3951
O503132,C100875,2023-05-08,mobile_app,apparel,3,100.83,30.25,272.24,146.93,125.31,completed,0.4603
O503132,C100875,2023-05-08,mobile_app,home,3,132.95,59.83,339.02,230.45,108.57,completed,0.3202
O501657,C100478,2023-05-09,marketplace,beauty,1,49.91,0.0,49.91,26.85,23.06,completed,0.462
O501657,C100478,2023-05-09,marketplace,electronics,3,479.0,0.0,1437.0,1208.04,228.96,completed,0.1593
O501657,C100478,2023-05-09,marketplace,home,1,128.87,0.0,128.87,77.84,51.03,completed,0.396
O501529,C100452,2023-05-10,web,footwear,3,163.61,98.17,392.66,238.19,154.47,completed,0.3934
O501529,C100452,2023-05-10,web,electronics,3,523.82,314.29,1257.17,1018.58,238.59,completed,0.1898
O501529,C100452,2023-05-10,web,apparel,1,100.16,0.0,100.16,55.03,45.13,completed,0.4506
O501029,C100298,2023-05-11,mobile_app,electronics,1,272.51,27.25,245.26,212.0,33.26,completed,0.1356
O501029,C100298,2023-05-11,mobile_app,apparel,2,59.56,5.96,113.16,62.58,50.58,completed,0.447
O501029,C100298,2023-05-11,mobile_app,electronics,3,192.89,0.0,578.67,506.14,72.53,completed,0.1253
O503129,C100874,2023-05-11,web,electronics,1,143.73,0.0,143.73,126.71,17.02,completed,0.1184
O500084,C100039,2023-05-12,marketplace,accessories,1,57.26,2.86,54.4,27.59,26.81,completed,0.4928
O500084,C100039,2023-05-12,marketplace,home,2,98.27,29.48,167.06,110.89,56.17,completed,0.3362
O501251,C100384,2023-05-12,marketplace,footwear,3,97.09,58.25,233.02,138.65,94.37,completed,0.405
O501251,C100384,2023-05-12,marketplace,electronics,2,255.8,76.74,434.86,364.76,70.1,completed,0.1612
O503133,C100875,2023-05-13,web,home,2,86.2,34.48,137.92,85.7,52.22,completed,0.3786
O501509,C100442,2023-05-14,web,accessories,2,26.51,7.95,45.07,22.11,22.96,completed,0.5094
O501530,C100452,2023-05-17,mobile_app,apparel,3,112.23,67.34,269.35,146.61,122.74,completed,0.4557
O502526,C100722,2023-05-17,mobile_app,electronics,2,314.51,94.35,534.67,453.43,81.24,completed,0.1519
O500274,C100087,2023-05-18,mobile_app,beauty,3,31.66,4.75,90.23,42.3,47.93,completed,0.5312
O500274,C100087,2023-05-18,mobile_app,accessories,2,60.32,0.0,120.64,64.15,56.49,completed,0.4683
O500274,C100087,2023-05-18,mobile_app,accessories,3,47.42,14.23,128.03,63.84,64.19,completed,0.5014
O501225,C100372,2023-05-18,marketplace,footwear,3,82.84,37.28,211.24,129.33,81.91,completed,0.3878
O502871,C100814,2023-05-19,web,electronics,2,258.61,51.72,465.5,410.28,55.22,completed,0.1186
O500562,C100176,2023-05-23,mobile_app,home,3,90.03,0.0,270.09,165.9,104.19,completed,0.3858
O500562,C100176,2023-05-23,mobile_app,apparel,3,60.06,0.0,180.18,100.81,79.37,completed,0.4405
O501658,C100478,2023-05-23,marketplace,apparel,1,107.07,5.35,101.72,59.22,42.5,completed,0.4178
O501658,C100478,2023-05-23,marketplace,electronics,3,269.96,121.48,688.4,614.05,74.35,completed,0.108
O501658,C100478,2023-05-23,marketplace,accessories,1,79.16,3.96,75.2,37.16,38.04,completed,0.5059
O502424,C100690,2023-05-23,web,home,2,46.67,4.67,88.67,54.84,33.83,completed,0.3815
O502509,C100716,2023-05-23,retail_partner,accessories,3,36.34,10.9,98.12,50.26,47.86,completed,0.4878
O502509,C100716,2023-05-23,retail_partner,footwear,1,46.9,2.35,44.55,27.82,16.73,completed,0.3755
O503154,C100879,2023-05-24,mobile_app,apparel,1,86.67,8.67,78.0,42.12,35.88,completed,0.46
O503154,C100879,2023-05-24,mobile_app,electronics,2,424.84,84.97,764.71,629.98,134.73,completed,0.1762
O503154,C100879,2023-05-24,mobile_app,beauty,2,44.62,13.39,75.85,34.65,41.2,completed,0.5432
O500739,C100225,2023-05-25,web,home,3,76.58,34.46,195.28,117.97,77.31,completed,0.3959
O500739,C100225,2023-05-25,web,apparel,3,58.16,8.72,165.76,82.61,83.15,completed,0.5016
O500739,C100225,2023-05-25,web,footwear,1,73.97,0.0,73.97,44.96,29.01,completed,0.3922
O502036,C100580,2023-05-25,web,apparel,2,72.26,0.0,144.52,80.04,64.48,completed,0.4462
O500824,C100248,2023-05-26,mobile_app,beauty,2,53.34,5.33,101.35,53.2,48.15,completed,0.4751
O502037,C100580,2023-05-27,mobile_app,accessories,1,50.7,0.0,50.7,24.52,26.18,completed,0.5164
O502037,C100580,2023-05-27,mobile_app,home,1,170.37,17.04,153.33,100.3,53.03,completed,0.3459
O502037,C100580,2023-05-27,mobile_app,footwear,3,120.28,18.04,342.8,202.48,140.32,completed,0.4093
O502645,C100761,2023-05-27,mobile_app,beauty,3,63.53,0.0,190.59,92.38,98.21,completed,0.5153
O502857,C100810,2023-05-29,marketplace,accessories,2,45.4,0.0,90.8,45.84,44.96,completed,0.4952
O501771,C100506,2023-05-30,web,footwear,2,181.97,54.59,309.35,194.48,114.87,completed,0.3713
O501771,C100506,2023-05-30,web,apparel,1,87.98,8.8,79.18,43.89,35.29,completed,0.4457
O502922,C100824,2023-05-31,mobile_app,beauty,2,50.71,20.28,81.14,40.02,41.12,completed,0.5068
O503155,C100879,2023-05-31,mobile_app,accessories,1,85.11,4.26,80.85,38.94,41.91,completed,0.5184
O503155,C100879,2023-05-31,mobile_app,home,1,111.54,5.58,105.96,62.67,43.29,completed,0.4086
O503155,C100879,2023-05-31,mobile_app,accessories,3,74.29,44.57,178.3,86.62,91.68,completed,0.5142
O500897,C100271,2023-06-01,mobile_app,footwear,3,195.38,58.61,527.53,319.05,208.48,completed,0.3952
O500897,C100271,2023-06-01,mobile_app,apparel,3,97.57,43.91,248.8,134.17,114.63,completed,0.4607
O500897,C100271,2023-06-01,mobile_app,home,1,151.1,0.0,151.1,98.35,52.75,completed,0.3491
O502695,C100769,2023-06-01,marketplace,home,2,61.5,12.3,110.7,63.96,46.74,completed,0.4222
O502695,C100769,2023-06-01,marketplace,footwear,1,96.74,4.84,91.9,54.31,37.59,completed,0.409
O502695,C100769,2023-06-01,marketplace,apparel,2,51.38,0.0,102.76,53.3,49.46,completed,0.4813
O500001,C100000,2023-06-02,mobile_app,apparel,3,53.25,7.99,151.76,78.39,73.37,completed,0.4835
O500001,C100000,2023-06-02,mobile_app,footwear,1,75.82,11.37,64.45,37.8,26.65,completed,0.4135
O501524,C100450,2023-06-03,mobile_app,footwear,3,84.01,25.2,226.83,138.85,87.98,completed,0.3879
O501524,C100450,2023-06-03,mobile_app,home,2,39.51,7.9,71.12,46.35,24.77,completed,0.3483
O501524,C100450,2023-06-03,mobile_app,electronics,2,278.95,83.68,474.22,369.7,104.52,completed,0.2204
O501794,C100508,2023-06-03,web,beauty,1,51.5,2.58,48.92,23.27,25.65,completed,0.5243
O502923,C100824,2023-06-03,mobile_app,electronics,1,385.94,57.89,328.05,261.75,66.3,completed,0.2021
O502923,C100824,2023-06-03,mobile_app,apparel,3,32.19,19.31,77.26,41.7,35.56,completed,0.4603
O501158,C100358,2023-06-04,web,accessories,1,49.31,0.0,49.31,25.07,24.24,completed,0.4916
O501158,C100358,2023-06-04,web,footwear,2,64.51,0.0,129.02,89.13,39.89,completed,0.3092
O500304,C100099,2023-06-05,mobile_app,footwear,2,82.04,16.41,147.67,88.19,59.48,completed,0.4028
O500304,C100099,2023-06-05,mobile_app,home,1,64.11,0.0,64.11,41.32,22.79,completed,0.3555
O502038,C100580,2023-06-05,mobile_app,electronics,3,381.3,171.59,972.31,811.49,160.82,completed,0.1654
O502038,C100580,2023-06-05,mobile_app,footwear,1,166.21,0.0,166.21,93.74,72.47,completed,0.436
O502038,C100580,2023-06-05,mobile_app,beauty,2,65.64,6.56,124.72,58.02,66.7,completed,0.5348
O502463,C100703,2023-06-05,web,apparel,3,47.38,7.11,135.03,71.8,63.23,completed,0.4683
O503156,C100879,2023-06-05,marketplace,electronics,3,481.79,0.0,1445.37,1190.47,254.9,completed,0.1764
O503156,C100879,2023-06-05,marketplace,apparel,1,87.67,0.0,87.67,47.04,40.63,completed,0.4634
O500179,C100063,2023-06-07,marketplace,accessories,3,48.53,0.0,145.59,74.42,71.17,completed,0.4888
O500179,C100063,2023-06-07,marketplace,home,1,80.22,0.0,80.22,51.37,28.85,completed,0.3596
O500179,C100063,2023-06-07,marketplace,home,3,80.71,12.11,230.02,131.31,98.71,completed,0.4291
O502924,C100824,2023-06-07,marketplace,home,2,98.52,9.85,187.19,121.35,65.84,completed,0.3517
O502924,C100824,2023-06-07,marketplace,footwear,2,224.78,22.48,427.08,237.72,189.36,completed,0.4434
O502924,C100824,2023-06-07,marketplace,electronics,1,483.46,72.52,410.94,307.11,103.83,completed,0.2527
O500825,C100248,2023-06-08,mobile_app,electronics,2,365.08,0.0,730.16,614.58,115.58,completed,0.1583
O501531,C100452,2023-06-10,mobile_app,apparel,2,79.36,23.81,134.91,81.69,53.22,completed,0.3945
O502872,C100814,2023-06-10,mobile_app,apparel,3,117.21,0.0,351.63,200.7,150.93,completed,0.4292
O502872,C100814,2023-06-10,mobile_app,electronics,3,393.91,0.0,1181.73,998.7,183.03,completed,0.1549
O500523,C100165,2023-06-11,web,apparel,3,52.42,31.45,125.81,75.53,50.28,completed,0.3997
O502527,C100722,2023-06-11,marketplace,beauty,1,58.45,2.92,55.53,25.47,30.06,completed,0.5413
O502527,C100722,2023-06-11,marketplace,accessories,2,111.57,0.0,223.14,111.77,111.37,completed,0.4991
O502527,C100722,2023-06-11,marketplace,accessories,2,79.57,0.0,159.14,73.16,85.98,completed,0.5403
O502858,C100810,2023-06-11,web,home,3,104.54,47.04,266.58,165.95,100.63,completed,0.3775
O502858,C100810,2023-06-11,web,footwear,2,112.9,11.29,214.51,126.27,88.24,completed,0.4114
O500144,C100055,2023-06-12,web,electronics,3,221.9,0.0,665.7,497.8,167.9,completed,0.2522
O500144,C100055,2023-06-12,web,home,2,83.12,8.31,157.93,100.99,56.94,completed,0.3605
O502425,C100690,2023-06-12,marketplace,footwear,2,149.1,0.0,298.2,188.17,110.03,completed,0.369
O502425,C100690,2023-06-12,marketplace,beauty,3,61.84,0.0,185.52,86.73,98.79,completed,0.5325
O501182,C100361,2023-06-14,web,apparel,3,55.81,8.37,159.06,83.9,75.16,completed,0.4725
O501182,C100361,2023-06-14,web,home,2,66.55,0.0,133.1,82.07,51.03,completed,0.3834
O501182,C100361,2023-06-14,web,home,3,118.2,0.0,354.6,206.98,147.62,completed,0.4163
O503157,C100879,2023-06-14,mobile_app,home,3,86.08,25.82,232.42,135.5,96.92,completed,0.417
O503157,C100879,2023-06-14,mobile_app,footwear,1,94.1,0.0,94.1,58.68,35.42,completed,0.3764
O503157,C100879,2023-06-14,mobile_app,accessories,3,74.33,0.0,222.99,118.12,104.87,completed,0.4703
O501659,C100478,2023-06-16,marketplace,home,3,139.36,62.71,355.37,225.92,129.45,completed,0.3643
O501659,C100478,2023-06-16,marketplace,electronics,1,395.2,0.0,395.2,309.25,85.95,completed,0.2175
O501659,C100478,2023-06-16,marketplace,accessories,3,71.71,0.0,215.13,104.76,110.37,completed,0.513
O502837,C100804,2023-06-19,web,accessories,2,70.43,0.0,140.86,68.49,72.37,completed,0.5138
O502837,C100804,2023-06-19,web,footwear,3,142.41,21.36,405.87,233.19,172.68,completed,0.4255
O502837,C100804,2023-06-19,web,apparel,2,113.47,45.39,181.55,99.11,82.44,completed,0.4541
O501431,C100427,2023-06-20,mobile_app,electronics,1,324.81,0.0,324.81,233.75,91.06,completed,0.2803
O501431,C100427,2023-06-20,mobile_app,beauty,3,80.02,12.0,228.06,101.65,126.41,completed,0.5543
O501431,C100427,2023-06-20,mobile_app,apparel,3,70.62,31.78,180.08,103.33,76.75,completed,0.4262
O501735,C100497,2023-06-20,web,footwear,2,170.56,51.17,289.95,167.61,122.34,completed,0.4219
O502944,C100827,2023-06-20,retail_partner,home,1,76.33,0.0,76.33,45.85,30.48,completed,0.3993
O502356,C100660,2023-06-21,mobile_app,electronics,3,194.03,29.1,552.99,436.04,116.95,completed,0.2115
O502356,C100660,2023-06-21,mobile_app,electronics,2,211.92,0.0,423.84,340.68,83.16,completed,0.1962
O502356,C100660,2023-06-21,mobile_app,accessories,3,35.77,10.73,96.58,49.12,47.46,completed,0.4914
O500375,C100125,2023-06-22,web,footwear,2,52.82,0.0,105.64,61.27,44.37,completed,0.42
O500375,C100125,2023-06-22,web,beauty,2,42.1,16.84,67.36,33.15,34.21,completed,0.5079
O500375,C100125,2023-06-22,web,apparel,1,48.17,0.0,48.17,27.81,20.36,completed,0.4227
O501553,C100454,2023-06-22,web,apparel,3,89.86,26.96,242.62,131.51,111.11,completed,0.458
O501553,C100454,2023-06-22,web,footwear,1,121.4,0.0,121.4,66.55,54.85,completed,0.4518
O501553,C100454,2023-06-22,web,footwear,1,148.14,22.22,125.92,79.14,46.78,completed,0.3715
O503134,C100875,2023-06-22,mobile_app,beauty,2,51.79,10.36,93.22,43.11,50.11,completed,0.5375
O500145,C100055,2023-06-23,web,accessories,1,37.95,0.0,37.95,19.51,18.44,completed,0.4859
O502014,C100574,2023-06-24,marketplace,apparel,1,33.97,3.4,30.57,15.9,14.67,completed,0.4799
O502014,C100574,2023-06-24,marketplace,home,1,79.26,3.96,75.3,46.73,28.57,completed,0.3794
O502014,C100574,2023-06-24,marketplace,home,2,67.44,0.0,134.88,82.13,52.75,completed,0.3911
O502766,C100788,2023-06-24,mobile_app,home,1,51.54,7.73,43.81,26.19,17.62,completed,0.4022
O503181,C100883,2023-06-25,mobile_app,accessories,1,37.98,1.9,36.08,17.97,18.11,completed,0.5019
O503181,C100883,2023-06-25,mobile_app,beauty,2,18.82,3.76,33.88,15.21,18.67,completed,0.5511
O503181,C100883,2023-06-25,mobile_app,electronics,1,120.56,12.06,108.5,88.89,19.61,completed,0.1807
O500898,C100271,2023-06-26,marketplace,beauty,2,46.88,18.75,75.01,33.96,41.05,completed,0.5473
O501968,C100552,2023-06-26,marketplace,electronics,2,158.48,0.0,316.96,244.39,72.57,completed,0.229
O501968,C100552,2023-06-26,marketplace,beauty,1,32.02,4.8,27.22,12.28,14.94,completed,0.5489
O502945,C100827,2023-06-28,mobile_app,beauty,1,50.79,10.16,40.63,21.28,19.35,completed,0.4762
O502945,C100827,2023-06-28,mobile_app,footwear,1,134.79,0.0,134.79,74.14,60.65,completed,0.45
O502945,C100827,2023-06-28,mobile_app,apparel,2,68.13,0.0,136.26,71.09,65.17,completed,0.4783
O500356,C100116,2023-06-29,web,accessories,2,27.77,8.33,47.21,22.82,24.39,completed,0.5166
O502964,C100830,2023-06-29,web,beauty,1,29.58,0.0,29.58,14.63,14.95,completed,0.5054
O502964,C100830,2023-06-29,web,electronics,3,183.49,0.0,550.47,494.3,56.17,completed,0.102
O503135,C100875,2023-06-29,marketplace,accessories,2,84.42,0.0,168.84,81.32,87.52,completed,0.5184
O503135,C100875,2023-06-29,marketplace,electronics,3,385.8,0.0,1157.4,987.03,170.37,completed,0.1472
O503152,C100878,2023-06-29,web,electronics,1,188.82,0.0,188.82,152.87,35.95,completed,0.1904
O500433,C100145,2023-06-30,web,footwear,1,169.66,0.0,169.66,102.09,67.57,completed,0.3983
O502500,C100713,2023-06-30,marketplace,home,2,83.48,25.04,141.92,90.65,51.27,completed,0.3613
O502800,C100799,2023-07-01,web,electronics,2,572.75,0.0,1145.5,903.31,242.19,completed,0.2114
O502800,C100799,2023-07-01,web,home,3,101.22,0.0,303.66,194.81,108.85,completed,0.3585
O502800,C100799,2023-07-01,web,electronics,3,341.89,153.85,871.82,781.65,90.17,completed,0.1034
O500703,C100211,2023-07-02,web,apparel,2,52.04,0.0,104.08,60.06,44.02,completed,0.4229
O502528,C100722,2023-07-03,retail_partner,electronics,1,302.09,0.0,302.09,248.1,53.99,completed,0.1787
O502528,C100722,2023-07-03,retail_partner,footwear,2,162.01,0.0,324.02,196.63,127.39,completed,0.3932
O502528,C100722,2023-07-03,retail_partner,accessories,2,64.37,6.44,122.3,64.65,57.65,completed,0.4714
O500473,C100154,2023-07-04,mobile_app,footwear,2,99.59,9.96,189.22,118.79,70.43,completed,0.3722
O500473,C100154,2023-07-04,mobile_app,electronics,1,220.6,22.06,198.54,154.8,43.74,completed,0.2203
O500962,C100278,2023-07-04,mobile_app,footwear,1,57.44,2.87,54.57,28.03,26.54,completed,0.4863
O500962,C100278,2023-07-04,mobile_app,electronics,1,103.59,0.0,103.59,82.71,20.88,completed,0.2016
O501696,C100482,2023-07-04,marketplace,beauty,1,20.88,2.09,18.79,9.64,9.15,completed,0.487
O502381,C100674,2023-07-07,marketplace,electronics,2,219.76,0.0,439.52,349.79,89.73,completed,0.2042
O502381,C100674,2023-07-07,marketplace,apparel,1,41.28,0.0,41.28,21.93,19.35,completed,0.4688
O502381,C100674,2023-07-07,marketplace,accessories,2,47.91,4.79,91.03,48.37,42.66,completed,0.4686
O500267,C100082,2023-07-08,web,electronics,3,198.01,118.81,475.22,355.17,120.05,completed,0.2526
O500267,C100082,2023-07-08,web,accessories,2,26.56,7.97,45.15,23.73,21.42,completed,0.4744
O500267,C100082,2023-07-08,web,accessories,1,29.23,0.0,29.23,14.73,14.5,completed,0.4961
O502017,C100575,2023-07-09,web,apparel,2,72.23,14.45,130.01,73.98,56.03,completed,0.431
O503182,C100884,2023-07-09,web,footwear,1,74.86,11.23,63.63,40.23,23.4,completed,0.3678
O503182,C100884,2023-07-09,web,footwear,1,55.95,2.8,53.15,30.91,22.24,completed,0.4184
O500628,C100193,2023-07-10,web,apparel,1,50.02,0.0,50.02,25.9,24.12,completed,0.4822
O500628,C100193,2023-07-10,web,electronics,3,183.21,0.0,549.63,404.91,144.72,completed,0.2633
